source,key,site,price,name,event,link
findprice,娘家大紅麴,Yahoo奇摩超級商城 - 衛立兒生活館,"$ 2,450",娘家大紅麴30粒/盒［衛立兒生活館］,"['', '']",https://www.findprice.com.tw/go/gmaqfis8/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,ihergo愛合購,"$ 2,184",免運!【娘家】1盒30粒 大紅麴 30粒/盒,"['', '']",https://www.findprice.com.tw/go/g8gkj7wj/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,樂天市場 - 丞陽健康生活館,"$ 2,359",娘家大紅麴30粒/盒 ◆丞陽健康生活館◆,"['活動\n樂天購物市集 指定店家 天天領券現領現折', '']",https://www.findprice.com.tw/go/gufaqhc8/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,樂天市場 - 愛兒麗婦幼用品,"$ 2,450",娘家大紅麴30粒/盒★愛兒麗婦幼用品★,"['活動\n樂天購物市集 指定店家 天天領券現領現折', '']",https://www.findprice.com.tw/go/gk3e6umz/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,Yahoo奇摩超級商城 - 新高橋藥妝,"$ 2,450",娘家大紅麴 膠囊 30粒【新高橋藥妝】,"['', '']",https://www.findprice.com.tw/go/gc8k9aeg/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,樂天市場 - 小柚子生活館,"$ 2,451",娘家大紅麴 30粒【一盒】 *小柚子*,"['活動\n樂天購物市集 指定店家 天天領券現領現折', '']",https://www.findprice.com.tw/go/gqxmt7as/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,樂天市場 - MAYs 美生藥局,"$ 2,550",美生藥局｜【娘家】大紅麴 30粒/盒,"['活動\n樂天購物市集 指定店家 天天領券現領現折', '']",https://www.findprice.com.tw/go/gdwfeauf/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,Yahoo奇摩超級商城 - 維康醫療,"$ 2,580",娘家大紅麴 30入膠囊/盒 *維康*,"['', '']",https://www.findprice.com.tw/go/g6ymzxm3/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,蝦皮商城 - 杏一健康生活館,"$ 2,451",娘家 大紅麴膠囊 (30粒/盒)【杏一】,"['活動\n蝦皮7.7夏日免運節 領6張免運券', '折扣\n6月薪客滿299折150  折扣碼：IA202206 複製折扣碼 ']",https://www.findprice.com.tw/go/g7aa8qt9/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
findprice,娘家大紅麴,蝦皮商城 - 詠安世界藥局,"$ 2,250",娘家大紅麴膠囊(30粒/盒) 【詠安世界藥局】,"['活動\n蝦皮7.7夏日免運節 領6張免運券', '折扣\n6月薪客滿299折150  折扣碼：IA202206 複製折扣碼 ']",https://www.findprice.com.tw/go/gbtd2usg/?s=0&t=1&f=d&k=%E5%A8%98%E5%AE%B6%20%E5%A4%A7%E7%B4%85%E9%BA%B4
